"mpg","cylinders","cubicinches","hp","weightlbs","time.to.60","year","brand"
"136",10,7,63,69,209,"13","1977"," US."
"137",1,4,15,18,19,"21","1972"," US."
"138",5,7,59,56,141,"12","1976"," US."
"139",36,4,31,43,120,"15","1976"," Europe."
"140",32,4,30,34,124,"20","1973"," Europe."
"141",52,6,46,51,102,"13","1980"," US."
"142",59,4,16,22,46,"16","1976"," Japan."
"143",70,4,39,41,96,"14","1983"," Japan."
"144",85,4,8,8,5,"16","1982"," Japan."
"145",23,7,58,55,174,"15","1980"," US."
"146",39,4,30,35,122,"17","1976"," Europe."
"147",30,6,51,49,152,"17","1980"," US."
"148",53,4,41,36,105,"18","1983"," US."
"149",8,7,65,75,180,"12","1971"," US."
"150",18,7,59,63,144,"11","1979"," US."
"151",65,4,30,22,1,"18","1981"," Japan."
"152",55,4,35,40,78,"14","1979"," Japan."
"153",6,7,74,84,225,"10","1971"," US."
"154",8,6,54,20,140,"20","1976"," US."
"155",56,4,21,33,72,"16","1977"," Europe."
"156",21,6,18,35,149,"16","1972"," US."
"157",17,3,2,36,37,"14","1974"," Japan."
"158",60,4,17,16,41,"-1","1979"," Japan."
"159",21,6,53,45,90,"13","1972"," US."
"160",1,6,43,59,156,"16","1979"," Europe."
"161",44,4,41,36,127,"20","1981"," US."
"162",14,7,63,64,202,"14","1979"," US."
"163",17,6,45,42,125,"15","1976"," US."
"164",39,6,48,40,116,"16","1974"," US."
"165",39,4,16,6,56,"24","1973"," Europe."
"166",26,7,56,49,153,"16","1979"," US."
"167",10,6,51,47,162,"16","1972"," US."
"168",49,4,42,38,82,"15","1983"," US."
"169",27,6,42,54,111,"14","1974"," Japan."
"170",91,4,20,11,38,"15","1983"," US."
"171",73,4,21,20,62,"17","1981"," Japan."
"172",29,5,34,44,113,"16","1979"," Europe."
"173",59,4,1,3,12,"20","1974"," Europe."
"174",64,4,24,32,80,"16","1983"," US."
"175",32,4,32,33,52,"17","1973"," US."
"176",49,4,18,17,48,"18","1973"," Europe."
"177",6,7,70,78,1,"12","1973"," US."
"178",6,7,60,69,179,"12","1974"," US."
"179",28,7,59,63,172,"13","1979"," US."
"180",66,4,17,16,28,"19","1978"," Japan."
"181",25,6,50,32,126,"18","1980"," US."
"182",78,4,16,15,43,"18","1981"," Japan."
"183",14,7,61,64,211,"13","1977"," US."
"184",17,7,63,69,161,"11","1971"," US."
"185",79,4,24,35,69,"18","1983"," US."
"186",31,6,50,32,133,"17","1979"," US."
"187",17,6,54,47,165,"16","1976"," US."
"188",5,7,63,69,195,"13","1977"," US."
"189",6,7,66,71,207,"13","1973"," US."
"190",5,7,72,82,236,"11","1974"," US."
"191",48,4,42,38,88,"14","1982"," US."
"192",57,4,41,36,97,"16","1980"," US."
"193",5,7,70,80,224,"13","1973"," US."
"194",8,7,65,66,203,"13","1974"," US."
"195",6,7,63,69,201,"-1","1973"," US."
"196",96,4,17,23,42,"15","1981"," Europe."
"197",54,4,36,31,73,"16","1982"," US."
"198",97,4,14,2,24,"22","1979"," Europe."
"199",59,4,14,18,15,"14","1976"," Europe."
"200",77,4,10,18,17,"17","1978"," Japan."
"201",49,4,28,22,55,"14","1975"," Europe."
"202",39,4,37,30,92,"17","1976"," US."
"203",42,7,56,36,158,"22","1980"," US."
"204",21,6,51,45,176,"18","1978"," US."
"205",32,4,37,20,70,"20","1974"," US."
"206",8,7,69,80,190," 9","1971"," US."
"207",95,4,10,13,35,"19","1981"," Japan."
"208",17,6,54,35,130,"17","1974"," US."
"209",5,7,62,57,205,"14","1973"," US."
"210",47,6,44,52,115,"13","1982"," Japan."
"211",36,6,40,42,112,"15","1978"," Japan."
"212",16,6,52,75,163,"13","1979"," US."
"213",94,4,6,7,4,"17","1982"," Japan."
"214",1,4,6,18,32,"20","1972"," Europe."
"215",36,6,51,45,145,"15","1977"," US."
"216",75,4,29,45,87,"15","1982"," Japan."
"217",1,4,10,13,23,"19","1982"," Japan."
"218",7,7,66,70,211,"13","1977"," US."
"219",58,6,46,51,85,"11","1980","-1"
"220",8,7,59,57,215,"15","1978"," US."
"221",14,6,55,40,143,"18","1977"," US."
"222",35,4,31,51,110,"16","1979"," Europe."
"223",6,7,63,69,227,"14","1975"," US."
"224",11,6,44,53,186,"17","1977"," Europe."
"225",6,7,59,61,198,"15","1974"," US."
"226",70,4,9,9,25,"-1","1975"," Japan."
"227",2,7,67,82,231,"14","1971"," US."
"228",64,4,5,4,3,"17","1975"," Japan."
"229",32,6,50,32,83,"16","1971"," US."
"230",53,4,37,33,109,"16","1983"," US."
"231",8,7,68,77,171,"10","1971"," US."
"232",56,4,30,26,89,"19","1983"," US."
"233",39,4,37,25,84,"19","1976"," US."
"234",10,7,63,69,229,"15","1976"," US."
"235",27,4,33,46,139,"16","1977"," Europe."
"236",99,4,16,4,40,"25","1983"," Europe."
"237",6,7,63,69,204,"13","1972"," US."
"238",28,6,50,32,123,"16","1979"," US."
"239",93,4,11,12,13,"16","1982"," US."
"240",39,4,32,33,51,"14","1972"," US."
"241",5,7,65,66,200,"12","1977"," US."
"242",17,6,51,47,137,"17","1974"," US."
"243",10,7,70,79,212,"11","1978"," US."
"244",46,4,23,34,99,"18","1971"," Europe."
"245",6,7,73,83,220," 9","1971"," US."
"246",8,7,63,69,155,"-1","1974"," US."
"247",24,7,63,64,181,"13","1979"," US."
"248",100,4,14,2,34,"22","1981"," Europe."
"249",56,4,16,22,44,"16","1977"," Japan."
"250",59,4,36,31,76,"16","1983"," US."
"251",71,4,17,18,36,"16","1981"," US."
"252",43,4,31,49,95,"14","1974"," Europe."
"253",87,5,31,15,121,"20","1981"," Europe."
"254",5,7,65,66,197,"13","1974"," US."
"255",41,6,18,49,104,"13","1982"," US."
"256",43,4,25,40,66,"15","1971"," Japan."
"257",13,7,61,57,189,"15","1980"," US."
"258",86,4,15,8,8,"16","-1"," Japan."
"259",36,6,53,50,114,"15","-1"," US."
"260",17,6,53,45,148,"16","1972"," US."
"261",36,6,54,47,151,"15","1977"," US."
